阿克苏机场,2019/3/20 21:27,2,阿克苏机场能见度已上升至1200米，浮尘，后续能见度缓慢上升，取消20日07:21发布的01号低能见度机场警报。 
温州机场,2019/3/21 22:46,11,  现在温州机场已闻雷，在机场西方50千米有强的分散的对流云团，范围东西向20千米，南北向15千米，云团顶高10-12千米，以30千米/小时向偏东北方向移动，强度不变，预计北京时间21日22:46至21日23:15以闻雷为主，23:15至22日00:30将出现雷暴伴强降水天气。 
青岛机场,2019/3/21 11:19,1,"青岛机场西北大风天气持续至21日17:00，平均风速：10-13m/s，阵风：15-17m/s,五边及跑道附近存在风切变。"
南宁机场,2019/3/20 5:52,4,受平流雾影响，预计北京时3月20日06:00-09:00，南宁机场能见度在300-800米之间波动，垂直能见度60米。
南宁机场,2019/2/19 22:11,1,预计北京时间2月19日22:00至20日03:00，南宁机场最低云底高60-90米（FEW-SCT量级），短时30米（FEW量级），期间能见度在1500-3000米之间波动。
南宁机场,2019/3/27 8:11,1,预计北京时间27日08:30--10:30，南宁机场有60米--90米之间的低云存在（FEW-SCT量级）。  
昆明机场,2019/3/26 10:03,1,预计北京时间2019年3月26日11:00-19:00期间昆明机场平均风速9-14米/秒，阵风≥17米/秒，其间昆明机场进近区域将出现中度及以上颠簸和低空风切变等伴随天气，提醒注意！
昆明机场,2019/3/20 10:36,1,预计北京时间2019年3月20日11:00-20:00期间昆明机场平均风速9-14米/秒，阵风≥17米/秒，其间昆明机场进近区域将出现中度及以上颠簸和低空风切变等伴随天气，提醒注意。
海拉尔机场,2019/1/30 14:31,1,海拉尔机场出现平均风12米/秒的偏西大风，最大阵风17米/秒，预计持续到北京时间30日20:00，之后平均风速降至10米/秒以下。  
温州机场,2019/3/22 0:41,1,  现在温州机场已出现雷暴天气，在机场东方20千米有弱的成片的对流云团，范围东西向8千米，南北向30千米，云团顶高10-11千米，以25千米/小时向偏东北方向移动，强度减弱，预计北京时间22日00:41至22日01:20影响机场，期间机场将闻雷并伴有弱降水。 
温州机场,2019/3/22 1:00,2,  影响温州机场的对流云团已经移出本场取消22日00:41发布的01号机场警报（雷暴）。 
宁波机场,2019/3/21 12:01,1,在宁波机场偏西处有中等强度的成片雷雨云团，云团顶高，以/小时的速度向东北偏东移动，强度不变，预计北京时间21日12:30 - 21日13:50影响宁波机场。其间宁波机场还将出现强降水，大风，低云低能见度，风切变等伴随天气。 
南宁机场,2019/3/20 3:31,3,受平流雾影响，预计北京时3月20日03:00-06:00，南宁机场能见度在400-800米之间波动，垂直能见度60米。
呼和浩特白塔机场,2019/2/19 11:03,4,呼和浩特白塔机场能见度已上升至1100米， 雪停，霜天气结束。取消19日09:14发布的03和04号机场警报（低云低能见度）。取消霜和降雪的警报。
西安机场,2019/3/20 12:57,1,受冷空气影响，预计北京时间20日13:00 - 14:00咸阳机场一边和五边将出现低空风切变。 
济南机场,2019/3/21 9:08,1,济南机场目前已出现12米/秒的北风，阵风17米/秒。预计北京时间21日09:00 - 21日15:00济南机场将出现12至15米/秒的北风，阵风17至21米/秒，其间济南机场进近及跑道区域还将出现中度以上颠簸、风切变等伴随天气。 
兰州机场,2019/1/30 10:13,1,兰州机场目前已出现小雪天气，以间歇性零星小雪为主，预计将持续至北京时间30日15时，期间能见度最低6公里。
南京机场,2019/3/20 6:00,4,影响南京机场的对流云团已经移出本场，取消之前发布的机场警报（雷暴）。
宁波机场,2019/3/27 6:56,1,目前在宁波机场西面处有强的分散对流云团，云团顶高8，以/小时的速度向偏东移动，强度不变，预计北京时间27日07:10 - 27日08:40影响塔台管制区，机场范围将于
兰州机场,2019/1/30 20:48,3,兰州机场目前已出现小雪天气，以间歇性零星小雪为主，预计将持续至北京时间31日03时，期间能见度最低5公里。
郑州机场,2019/1/30 10:29,2,目前郑州机场大雾天气持续，能见度500米，RVR/12R 800米，RVR/12L 600米，预计北京时1月30日11:00-12:00能见度600-800米，13:00以后能见度渐转至800米以上。
昆明机场,2019/3/21 8:55,1,预计北京时间2019年3月21日09:30-20:00期间昆明机场平均风速9-14米/秒，阵风≥17米/秒，其间昆明机场进近区域将出现中度及以上颠簸和低空风切变等伴随天气，提醒注意。
北京机场,2019/1/30 14:47,2,首都机场目前西北偏西风5-8米/秒，解除前期发布的大风警报。
武汉机场,2019/3/22 16:50,1,预计北京时间22日17:00 - 22日17:50武汉机场将出现中到大雨天气。
南京机场,2019/3/20 4:39,3,"在南京机场西侧距离60KM处有中等强度对流云团 ,云团顶高高度10KM，向偏东方向移动，预计北京时间05:10-06:00影响南京机场，其间 南京机场还将出现强降水等伴随天气。"
大连机场,2019/3/26 21:07,1,北京时间20:43，根据进近报告，在大连机场10号跑道遭遇风切变，强度不明，预计影响大连机场的风切变结束。
厦门机场,2019/3/22 0:19,1, 2019年3月22日00:08发布机场大雾警报：预计机场将短时出现平流雾，北京时间00:30—02:30，机场能见度将降低并出现短时波动，最低能见度300米，伴随低云，云底高90米，02:30能见度上升至3000米，云底高上升至300米。
南昌机场,2019/3/21 8:57,2,受浅层切变影响，本场预计北京时间21日09:00至11:00时有间歇性雷雨天气，雷雨来时伴随短时强降水、风切变、中度以上颠簸等天气，请各单位注意防范。
杭州机场,2019/3/20 18:43,1, 受低涡东移影响，机场西北侧30-50公里处有分散对流云团向东偏南方向移动，云顶高7-9公里。预计20日19：10-20：00本场有干雷暴或弱雷雨，并伴有7-8级雷暴大风。周边机场20日18：00实况：
南宁机场,2019/3/27 6:22,5,预计北京时间27日06:30--10:00，南宁机场最低云底高45米--60米（FEW-SCT量级），短时最低能见度在600米左右。  
合肥机场,2019/3/19 23:50,1,本场目前有雷暴天气，预计持续1小时左右。
昆明机场,2019/1/30 12:08,2,目前本场西南面20-60km范围内有对流云发展，以约100-120公里/小时的速度向东北方向移动，预计北京时间30日12:20 - 13:00影响机场跑道和北头延长线，有小到中雷雨，并伴有大风、颠簸、风切变等。
合肥机场,2019/1/30 18:05,6,目前本场能见度1400米，RVR2000米，解除大雾机场警报。
南宁机场,2019/3/26 18:59,1,受高后回流影响，预计北京时26日19:00-21:00，南宁机场最低云底高45-60米（FEW-SCT量级），最低能见度1000-2000米。  
温州机场,2019/3/21 19:45,8,  影响温州机场的对流云团已经移出本场，取消21日19:11发布的07号机场警报（雷暴）。 
长沙机场,2019/3/21 2:53,1,在长沙机场西北面60公里处有强的成片对流云团，范围80*200km，云团顶高12-15公里，以30公里/小时的速度向东移动，强度不变，预计北京时间21日03:50 - 21日07:30影响长沙机场并出现雷雨天气。其间长沙机场还将出现中-大阵型降水，13-17m/s阵风，低空风切变等伴随天气。
